X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
0.835801687,0.39023562,-26.78821768,-64.47227231,-27.378147,0.568718108,,8.29E-02,9.48E-01,2.45E-06,-8.95E-04,8.95E-04
0.931553572,0.388748077,-26.77601169,-64.47441431,-27.3751278,0.638834159,,8.30E-02,1.69E+00,3.32E-06,-1.44E-03,1.44E-03
3.901065878,0.13327896,-26.94688978,-64.18888919,-27.34073369,4.243022368,,8.30E-02,1.69E+00,3.32E-06,-1.44E-03,1.44E-03
1.053928231,0.393056142,-26.69760408,-64.36509493,-27.3188097,0.728676872,,8.30E-02,1.80E+00,3.37E-06,-1.51E-03,1.51E-03
0.722218692,0.400373781,-26.72082724,-64.32078012,-27.31248221,0.48547945,,8.30E-02,1.75E+00,3.35E-06,-1.48E-03,1.48E-03
1.339184193,0.389346648,-26.62455084,-64.3228378,-27.28421659,0.953371221,,8.30E-02,1.80E+00,3.37E-06,-1.51E-03,1.51E-03
1.217914098,0.393296941,-26.63646582,-64.3045249,-27.28229721,0.854843734,,8.46E-02,3.38E+00,2.65E-06,-2.86E-03,2.86E-03
3.047880195,0.271434384,-26.54839554,-64.35810993,-27.27195164,2.859030901,,8.46E-02,3.06E+00,2.95E-06,-2.69E-03,2.69E-03
0.567862519,0.408304702,-26.67785614,-64.20921951,-27.2661227,0.377079814,,8.46E-02,3.38E+00,2.65E-06,-2.86E-03,2.86E-03
0.452108237,0.409950042,-26.68084724,-64.19544211,-27.26288681,0.298450529,,8.46E-02,3.27E+00,2.74E-06,-2.81E-03,2.81E-03
1.909662558,0.367887231,-26.5300599,-64.34129638,-27.26140688,1.470214354,,8.46E-02,3.17E+00,2.85E-06,-2.75E-03,2.75E-03
2.865658989,0.293994227,-26.50129301,-64.34907091,-27.25510918,2.599633815,,8.46E-02,3.06E+00,2.95E-06,-2.69E-03,2.69E-03
1.437972106,0.389733621,-26.57674957,-64.27024433,-27.25409817,1.034575229,,8.50E-02,2.31E+00,3.48E-06,-2.01E-03,2.01E-03
4.331816041,0.054277673,-27.09620824,-63.74898334,-27.25355747,5.006809682,,8.50E-02,2.31E+00,3.48E-06,-2.01E-03,2.01E-03
2.642314796,0.319160891,-26.45470544,-64.31274343,-27.23023466,2.300089129,,8.50E-02,2.20E+00,3.50E-06,-1.88E-03,1.88E-03
3.857513615,0.156017536,-26.76202393,-63.97020047,-27.21966732,4.144783665,,8.50E-02,2.25E+00,3.49E-06,-1.95E-03,1.95E-03
3.51732434,0.214539735,-26.59913898,-64.10973473,-27.21266211,3.572271969,,8.50E-02,2.20E+00,3.50E-06,-1.88E-03,1.88E-03
0.361945006,0.418004709,-26.61768876,-64.06481084,-27.20474988,0.237267664,,8.90E-02,2.04E+00,3.66E-06,-1.68E-03,1.68E-03
