X,Y,u_x,u_y,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.386936652,0.751274433,9.65533E-06,-0.000727503,,,0.484745875,1.183455733,-19.80015134,-50.67812267,0.173262002
0.38890253,3.247095755,1.27282E-05,-0.00279719,,,0.48498969,0.527905817,-25.58922768,-62.14573438,0.301898928
0.40625,0.125,1.94851E-06,-0.000130513,,,0.486655048,2.470377593,-10.95509342,-27.66552496,-0.026630584
0.40625,0,0,0,,,0.486824128,0.819858097,-22.95652058,-57.06011157,0.249413413
0.40625,0.125,1.94851E-06,-0.000130513,,,0.487757266,1.528027911,-16.93319764,-44.57645862,0.100943249
0.406715325,2,1.67783E-05,-0.001623577,,,0.489166831,3.470327868,-3.441409805,-9.566529062,-0.049797905
0.406715325,2.125,1.68359E-05,-0.001788378,,,0.489275311,3.178087775,-5.631238377,-14.86043142,-0.057089842
0.406715325,2.125,1.68359E-05,-0.001788378,,,0.491986585,0.474677493,-26.07695375,-63.06873173,0.315137725
0.406715325,2,1.67783E-05,-0.001623577,,,0.494628093,3.968455493,0.343180542,-0.567937113,-0.00422604
0.406715325,1.875,1.6681E-05,-0.001552155,,,0.495860228,2.372953979,-11.69656974,-29.42329813,-0.019680345
0.406715325,1.875,1.6681E-05,-0.001552155,,,0.496728538,1.625789902,-16.13942871,-42.83561878,0.082275608
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.497423577,3.52366002,-3.040787762,-8.601130626,-0.047713951
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.499931638,0.376341371,-26.98589654,-64.7718962,0.335765206
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.509272679,3.622348948,-2.297582826,-6.815581818,-0.041978701
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.519231777,0.063212914,-29.93726943,-70.17713267,0.387879689
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.519242205,2.062786716,-14.07893335,-35.00840709,0.005073316
0.410010096,1.001566924,1.26548E-05,-0.000939055,,,0.519351455,1.937055241,-13.67152604,-37.26744835,0.021965972
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.538276838,2.840451252,-8.157862486,-20.97665088,-0.05418392
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.538490857,1.157154018,-20.01190869,-51.13802752,0.199372616
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.540569109,0.846701431,-22.70751082,-56.58590128,0.271773227
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.540950091,3.936622303,0.091780967,-1.141392385,-0.009178105
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.542911666,3.150870687,-5.83469692,-15.35441499,-0.063456134
0.410688865,2.996479407,1.46255E-05,-0.00264573,,,0.568403089,2.180261658,-13.1675946,-32.89481882,-0.004444948
0.424538501,4,1.18172E-05,-0.002996701,,,0.56894052,1.818960881,-14.58547056,-39.38295376,0.05036084
0.424538501,3.875,1.18205E-05,-0.002990022,,,0.570623864,0.182358247,-28.79755415,-68.11408045,0.413759998
0.424538501,3.875,1.18205E-05,-0.002990022,,,0.585293469,2.651033719,-9.579672704,-24.40364191,-0.04637185
0.450968128,2.248802093,1.86293E-05,-0.001941318,,,0.586185029,1.346765459,-18.40294089,-47.78687652,0.16890342
0.451401048,1.750571634,1.83031E-05,-0.001476932,,,0.586282418,2.031242208,-14.31765792,-35.57463144,0.009363505
0.452764938,0.250490971,4.25836E-06,-0.000257746,,,0.586391668,1.968599748,-13.41294591,-36.69998175,0.018822835
0.462321372,2.621724039,1.82069E-05,-0.002339848,,,0.587578209,0.031668407,-30.23308267,-70.708475,0.443511628
0.463017519,1.376534999,1.72334E-05,-0.001226379,,,0.588163911,3.81683114,-0.831148074,-3.301757826,-0.027093578
0.466365732,0.626373673,1.00639E-05,-0.000616042,,,0.590447321,0.656912542,-24.39437581,-59.89067719,0.341859772
