X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.39393938,1.5353535,-8.214265e-07,-0.0013878513,-16.961296,-44.397423,0.104115814,0.0013878515
0.39393938,1.5757576,-9.81614e-07,-0.0014151298,-16.655724,-43.68098,0.0970977,0.0014151301
0.39393938,1.6161616,-1.1660159e-06,-0.0014420599,-16.353865,-42.963806,0.09013534,0.0014420603
0.39393938,1.6565657,-1.354143e-06,-0.0014686976,-16.056309,-42.244408,0.08320913,0.0014686981
0.39393938,1.6969697,-1.5497208e-06,-0.0014950894,-15.764328,-41.521744,0.076288395,0.0014950902
0.39393938,1.7373737,-1.758337e-06,-0.0015213117,-15.48018,-40.795742,0.06929393,0.0015213127
0.39393938,1.7777778,-1.9725412e-06,-0.0015474949,-15.207494,-40.068214,0.062162347,0.0015474962
0.39393938,1.8181819,-2.2090971e-06,-0.0015737992,-14.950833,-39.342274,0.054932214,0.0015738007
0.39393938,1.8585858,-2.4493784e-06,-0.0016004611,-14.71436,-38.620705,0.047813103,0.001600463
0.39393938,1.8989899,-2.6915222e-06,-0.0016277581,-14.499655,-37.903416,0.041217085,0.0016277604
0.39393938,1.939394,-2.9541552e-06,-0.0016560834,-14.303764,-37.186317,0.035556465,0.001656086
0.39393938,1.979798,-3.2167882e-06,-0.0016858485,-14.119176,-36.463665,0.030968295,0.0016858516
0.39393938,2.020202,-3.4719706e-06,-0.0017174613,-13.936472,-35.733437,0.027110307,0.0017174648
0.39393938,2.060606,-3.742054e-06,-0.0017512832,-13.747618,-35.000084,0.023286173,0.0017512873
0.39393938,2.10101,-3.995374e-06,-0.0017874651,-13.54728,-34.27075,0.018978607,0.0017874696
0.39393938,2.1414142,-4.2691827e-06,-0.001825951,-13.331674,-33.54773,0.014265646,0.001825956
0.39393938,2.1818182,-4.546717e-06,-0.0018664561,-13.098076,-32.826843,0.009836647,0.0018664617
